Date,Price,Open,High,Low,Vol.,Change %,SentimentSum
2023-05-01,169.59,169.28,170.45,168.64,49.39M,-0.05%,0
2023-04-28,169.68,168.49,169.85,167.88,55.28M,0.75%,0
2023-04-27,168.41,165.19,168.56,165.19,64.22M,2.84%,0
2023-04-26,163.76,163.05,165.28,162.80,44.11M,-0.01%,0
2023-04-25,163.77,165.19,166.30,163.73,48.17M,-0.94%,0
2023-04-24,165.33,165.00,165.60,163.89,38.99M,0.19%,0.4391
2023-04-21,165.02,165.05,166.45,164.49,58.34M,-0.98%,0.30960000000000004
2023-04-20,166.65,166.09,167.87,165.56,52.46M,-0.58%,0
2023-04-19,167.63,165.80,168.16,165.54,47.24M,0.70%,-0.5574
2023-04-18,166.47,166.10,167.41,165.65,48.41M,0.75%,0.4215
2023-04-17,165.23,165.09,165.39,164.03,41.52M,0.01%,0.26280000000000003
2023-04-14,165.21,164.59,166.32,163.82,49.39M,-0.21%,0
2023-04-13,165.56,161.63,165.80,161.42,67.16M,3.41%,-0.4019
2023-04-12,160.10,161.22,162.06,159.78,49.40M,-0.44%,0
2023-04-11,160.80,162.35,162.36,160.51,46.31M,-0.76%,0
2023-04-10,162.03,161.42,162.03,160.08,47.03M,-1.60%,0
2023-04-06,164.66,162.43,164.96,162.00,45.39M,0.55%,0
2023-04-05,163.76,164.74,165.05,161.80,51.30M,-1.13%,0
2023-04-04,165.63,166.60,166.84,165.11,44.43M,-0.32%,0
2023-04-03,166.17,164.27,166.29,164.22,54.97M,0.77%,0
2023-03-31,164.90,162.44,165.00,161.91,68.75M,1.56%,0
2023-03-30,162.36,161.53,162.47,161.27,46.81M,0.99%,0
2023-03-29,160.77,159.37,161.05,159.35,51.31M,1.98%,0
2023-03-28,157.65,157.97,158.49,155.98,45.58M,-0.40%,-0.1027
2023-03-27,158.28,159.94,160.77,157.87,50.42M,-1.23%,0
2023-03-24,160.25,158.86,160.34,157.85,59.26M,0.83%,0
2023-03-23,158.93,158.83,161.55,157.68,67.22M,0.70%,0
2023-03-22,157.83,159.30,162.14,157.81,69.17M,-0.91%,0
2023-03-21,159.28,157.32,159.40,156.54,73.76M,1.19%,0
2023-03-20,157.40,155.07,157.82,154.15,73.47M,1.55%,0
2023-03-17,155.00,156.08,156.74,154.28,98.94M,-0.55%,0
2023-03-16,155.85,152.16,156.46,151.64,76.02M,1.87%,0.033899999999999986
2023-03-15,152.99,151.19,153.24,149.92,75.96M,0.26%,0
2023-03-14,152.59,151.28,153.40,150.10,73.37M,1.41%,0
2023-03-13,150.47,147.80,153.14,147.70,84.46M,1.33%,0
2023-03-10,148.50,150.21,150.94,147.61,68.57M,-1.39%,0.5859
2023-03-09,150.59,153.56,154.54,150.23,53.45M,-1.49%,0
2023-03-08,152.87,152.81,153.47,151.83,47.20M,0.84%,0
2023-03-07,151.60,153.70,154.03,151.13,56.18M,-1.45%,0
2023-03-06,153.83,153.79,156.30,153.46,87.56M,1.85%,0
2023-03-03,151.03,148.04,151.11,147.33,70.50M,3.51%,0
2023-03-02,145.91,144.38,146.71,143.90,52.09M,0.41%,0
2023-03-01,145.31,146.83,147.23,145.01,55.22M,-1.42%,0
2023-02-28,147.41,147.05,149.08,146.83,50.55M,-0.34%,0.0
2023-02-27,147.92,147.71,149.17,147.45,45.00M,0.82%,0
2023-02-24,146.71,147.11,147.19,145.72,55.47M,-1.80%,0
2023-02-23,149.40,150.09,150.34,147.24,48.39M,0.33%,1.2846
2023-02-22,148.91,148.87,149.95,147.16,51.01M,0.29%,0
2023-02-21,148.48,150.20,151.30,148.40,58.87M,-2.67%,0.3182
2023-02-17,152.55,152.35,153.00,150.85,59.14M,-0.75%,0
2023-02-16,153.71,153.51,156.33,153.35,66.84M,-1.04%,0
2023-02-15,155.33,153.11,155.50,152.88,65.47M,1.39%,0
2023-02-14,153.20,152.12,153.77,150.86,61.71M,-0.42%,-0.6808
2023-02-13,153.85,150.95,154.26,150.92,61.86M,1.88%,0
2023-02-10,151.01,149.46,151.34,149.22,57.45M,0.09%,0.6369
2023-02-09,150.87,153.77,154.33,150.42,54.90M,-0.69%,0
2023-02-08,151.92,153.88,154.58,151.17,63.47M,-1.77%,0
2023-02-07,154.65,150.64,155.23,150.64,83.03M,1.92%,0
2023-02-06,151.73,152.57,153.10,150.78,68.02M,-1.79%,0
2023-02-03,154.50,148.03,157.38,147.83,154.36M,2.44%,0.11489999999999995
2023-02-02,150.82,148.90,151.18,148.17,104.48M,3.71%,0
2023-02-01,145.43,143.97,146.61,141.32,76.77M,0.79%,-0.4576
2023-01-31,144.29,142.70,144.34,142.28,65.87M,0.90%,-0.6369
2023-01-30,143.00,144.96,145.55,142.85,62.98M,-2.01%,0
2023-01-27,145.93,143.15,147.23,143.08,70.56M,1.37%,0.08540000000000003
2023-01-26,143.96,143.17,144.25,141.90,53.65M,1.48%,-0.296
2023-01-25,141.86,140.89,142.43,138.81,64.69M,-0.47%,0.0772
2023-01-24,142.53,140.30,143.16,140.30,63.71M,1.01%,0
2023-01-23,141.11,138.12,143.32,137.90,81.57M,2.35%,0
2023-01-20,137.87,135.28,138.02,134.22,80.22M,1.92%,0
2023-01-19,135.27,134.08,136.25,133.77,58.07M,0.04%,0
2023-01-18,135.21,136.82,138.61,135.03,69.67M,-0.54%,-0.4767
2023-01-17,135.94,134.83,137.29,134.13,63.42M,0.88%,0.0
2023-01-13,134.76,132.03,134.92,131.66,57.81M,1.01%,0.2732
2023-01-12,133.41,133.88,134.26,131.44,71.25M,-0.06%,-0.1154
2023-01-11,133.49,131.25,133.51,130.46,69.12M,2.11%,0.7351
2023-01-10,130.73,130.26,131.26,128.12,63.43M,0.45%,0
2023-01-09,130.15,130.46,133.41,129.89,70.50M,0.41%,0
2023-01-06,129.62,126.01,130.29,124.89,87.76M,3.68%,0
2023-01-05,125.02,127.13,127.77,124.76,79.97M,-1.06%,0.5499
2023-01-04,126.36,126.89,128.66,125.08,88.46M,1.03%,-0.07240000000000002
2023-01-03,125.07,130.28,130.90,124.17,111.68M,-3.74%,-0.7175
2022-12-30,129.93,128.41,129.95,127.43,77.03M,0.25%,0
2022-12-29,129.61,127.99,130.48,127.73,75.48M,2.83%,0
2022-12-28,126.04,129.67,131.03,125.87,84.90M,-3.07%,0
2022-12-27,130.03,131.38,131.41,128.72,68.75M,-1.39%,0
2022-12-23,131.86,130.92,132.41,129.64,63.82M,-0.28%,0.128
2022-12-22,132.23,134.35,134.56,130.30,77.59M,-2.38%,0
2022-12-21,135.45,132.98,136.81,132.75,85.75M,2.38%,0
2022-12-20,132.30,131.39,133.25,129.89,77.08M,-0.05%,0
2022-12-19,132.37,135.11,135.20,131.32,79.15M,-1.59%,0
2022-12-16,134.51,136.68,137.65,133.73,160.16M,-1.46%,-0.7003
2022-12-15,136.50,141.11,141.80,136.02,97.25M,-4.69%,0
2022-12-14,143.21,145.35,146.65,141.16,82.29M,-1.55%,0
2022-12-13,145.47,149.50,149.97,144.24,93.73M,0.68%,0
2022-12-12,144.49,142.70,144.50,141.06,70.31M,1.64%,0
2022-12-09,142.16,142.34,145.57,140.90,76.10M,-0.34%,-0.8074
2022-12-08,142.65,142.36,143.52,141.10,61.91M,1.21%,0.0
2022-12-07,140.94,142.19,143.37,140.00,69.51M,-1.38%,0.6486
2022-12-06,142.91,147.07,147.30,141.92,64.52M,-2.54%,0
2022-12-05,146.63,147.77,150.92,145.77,68.39M,-0.80%,-0.5719
2022-12-02,147.81,145.96,148.00,145.65,65.45M,-0.34%,-0.7845
2022-12-01,148.31,148.21,149.13,146.61,71.25M,0.19%,0.2037
2022-11-30,148.03,141.40,148.72,140.55,111.38M,4.86%,-0.6597
2022-11-29,141.17,144.29,144.81,140.35,83.76M,-2.11%,-0.4404
2022-11-28,144.22,145.14,146.64,143.38,69.35M,-2.63%,0.0
2022-11-25,148.11,148.30,148.88,147.12,35.20M,-1.96%,0
2022-11-23,151.07,149.45,151.83,149.34,58.30M,0.59%,-0.6249
2022-11-22,150.18,148.13,150.42,146.93,51.80M,1.47%,0
2022-11-21,148.01,150.16,150.37,147.71,58.72M,-2.17%,0
2022-11-18,151.29,152.30,152.70,149.97,74.83M,0.38%,0
2022-11-17,150.72,146.43,151.48,146.15,80.39M,1.30%,0
2022-11-16,148.79,149.13,149.87,147.29,64.22M,-0.83%,0
2022-11-15,150.04,152.21,153.59,148.56,89.87M,1.19%,0
2022-11-14,148.28,148.97,150.28,147.43,73.37M,-0.95%,0.2023
2022-11-11,149.70,145.82,150.01,144.37,93.98M,1.93%,0.0772
2022-11-10,146.87,141.24,146.87,139.50,118.85M,8.90%,0
2022-11-09,134.87,138.50,138.55,134.59,74.92M,-3.32%,-0.7269
2022-11-08,139.50,140.41,141.43,137.49,89.91M,0.42%,-0.5029
2022-11-07,138.92,137.11,139.15,135.67,83.38M,0.39%,-0.8358
2022-11-04,138.38,142.09,142.67,134.38,140.82M,-0.36%,0
2022-11-03,138.88,142.06,142.80,138.75,97.92M,-4.24%,-0.6124
2022-11-02,145.03,148.95,152.17,145.00,93.61M,-3.73%,0
2022-11-01,150.65,155.08,155.45,149.13,80.38M,-1.75%,0
2022-10-31,153.34,153.15,154.24,151.92,97.94M,-1.54%,0.0516
2022-10-28,155.74,148.20,157.50,147.82,164.76M,7.56%,0.5106
2022-10-27,144.80,148.07,149.05,144.13,109.18M,-3.05%,0.3818
2022-10-26,149.35,150.96,151.99,148.04,88.44M,-1.96%,-0.3818
