Date,Price,Open,High,Low,Vol.,Change %,SentimentSum
2023-05-01,330.17,329.16,331.84,328.57,2.47M,0.49%,0
2023-04-28,328.55,325.44,328.81,325.19,2.91M,0.71%,0
2023-04-27,326.23,322.86,326.91,322.11,2.95M,1.78%,0
2023-04-26,320.53,323.31,323.74,319.00,2.72M,-1.17%,0
2023-04-25,324.34,325.99,327.10,324.11,2.55M,-0.52%,0
2023-04-24,326.05,324.43,326.39,324.30,2.26M,0.53%,0
2023-04-21,324.33,322.36,324.85,321.61,2.41M,0.16%,0
2023-04-20,323.82,322.20,324.37,321.32,2.43M,0.23%,0
2023-04-19,323.09,323.85,324.55,322.76,2.41M,-0.47%,0
2023-04-18,324.63,324.95,325.72,322.49,3.58M,0.26%,0
2023-04-17,323.79,320.20,323.98,319.00,3.43M,1.27%,0
2023-04-14,319.74,318.89,321.88,318.12,2.98M,0.53%,0
2023-04-13,318.05,315.27,318.81,313.26,3.33M,1.11%,0
2023-04-12,314.55,315.97,316.92,313.72,2.66M,0.27%,0
2023-04-11,313.70,312.56,315.94,311.77,3.11M,0.35%,0
2023-04-10,312.62,311.41,313.70,310.33,2.33M,0.04%,0
2023-04-06,312.51,309.82,313.22,309.05,3.13M,0.68%,0
2023-04-05,310.39,307.85,311.07,307.85,2.31M,0.43%,0
2023-04-04,309.07,310.76,311.00,307.07,2.74M,-0.40%,0
2023-04-03,310.31,309.25,311.50,308.24,4.86M,0.50%,0
2023-03-31,308.77,305.90,308.81,304.99,5.02M,1.21%,0
2023-03-30,305.08,307.09,307.47,302.58,2.69M,-0.07%,0
2023-03-29,305.30,304.80,305.38,303.36,2.65M,0.99%,0
2023-03-28,302.32,301.93,302.72,300.59,2.44M,0.06%,0
2023-03-27,302.14,300.88,303.21,298.97,3.84M,1.08%,0
2023-03-24,298.92,294.68,299.50,293.39,3.91M,0.18%,0
2023-03-23,298.37,301.39,302.08,296.30,4.02M,-0.45%,0
2023-03-22,299.73,303.72,307.05,299.65,3.09M,-1.36%,0
2023-03-21,303.85,304.56,305.63,302.25,4.73M,0.93%,0
2023-03-20,301.06,295.57,301.51,295.06,6.06M,2.57%,0
2023-03-17,293.51,301.30,301.30,292.42,15.61M,-2.81%,0
2023-03-16,302.01,296.37,304.43,295.36,6.33M,1.39%,0
2023-03-15,297.88,300.02,300.55,294.90,7.17M,-2.44%,0
2023-03-14,305.33,306.92,307.55,301.68,5.26M,0.81%,0
2023-03-13,302.88,301.75,306.59,300.76,4.99M,-0.25%,0
2023-03-10,303.63,302.95,306.72,301.92,5.30M,-0.39%,0
2023-03-09,304.82,311.00,313.18,303.94,3.93M,-2.10%,0
2023-03-08,311.37,310.72,312.67,309.25,2.71M,0.08%,0
2023-03-07,311.12,316.39,316.50,310.23,3.61M,-1.85%,0
