Date,Price,Open,High,Low,Vol.,Change %,SentimentSum
2023-05-01,289.10,278.40,290.58,277.80,56.62M,4.18%,0
2023-04-28,277.49,272.25,277.58,270.71,29.22M,1.92%,0
2023-04-27,272.26,273.63,274.95,266.25,37.43M,1.00%,0
2023-04-26,269.56,270.02,273.30,267.05,40.45M,2.72%,0
2023-04-25,262.41,270.78,272.47,262.25,36.76M,-2.96%,0
2023-04-24,270.42,270.13,273.66,266.71,32.65M,-0.28%,0
2023-04-21,271.19,269.52,271.83,267.22,34.51M,0.06%,0
2023-04-20,271.04,276.71,280.30,270.00,42.77M,-2.96%,0
2023-04-19,279.31,273.61,280.00,272.32,35.14M,0.95%,0
2023-04-18,276.67,275.33,281.10,273.57,60.27M,2.46%,0
2023-04-17,270.02,265.65,270.06,264.33,32.15M,0.91%,0
2023-04-14,267.58,265.04,268.83,262.20,39.57M,1.11%,0
2023-04-13,264.63,267.34,268.87,263.29,35.22M,-0.12%,0
2023-04-12,264.95,273.70,274.68,264.48,44.35M,-2.48%,0
2023-04-11,271.69,277.23,277.90,271.26,30.23M,-1.49%,0
2023-04-10,275.79,268.23,276.21,266.69,37.98M,2.00%,0
2023-04-06,270.37,265.84,270.80,264.27,39.77M,0.58%,0.1531
2023-04-05,268.81,268.29,269.98,263.95,50.33M,-2.08%,0
2023-04-04,274.53,279.66,280.00,273.07,36.64M,-1.83%,0
2023-04-03,279.65,275.09,280.00,273.36,39.62M,0.68%,0
2023-03-31,277.77,271.40,278.34,271.05,43.39M,1.44%,0
2023-03-30,273.83,272.29,274.99,271.02,35.64M,1.48%,0
2023-03-29,269.84,268.25,270.78,265.97,39.37M,2.17%,0
2023-03-28,264.10,264.47,265.13,258.50,35.48M,-0.46%,0
2023-03-27,265.31,268.37,270.00,263.65,36.02M,-0.93%,0
2023-03-24,267.79,270.31,271.67,263.55,45.54M,-1.52%,0
2023-03-23,271.91,271.15,274.99,266.90,56.18M,2.73%,0
2023-03-22,264.68,264.25,275.89,262.37,79.26M,1.03%,0
2023-03-21,261.99,261.80,263.92,253.81,54.52M,1.15%,0
2023-03-20,259.00,256.15,260.24,251.30,43.15M,0.68%,0
2023-03-17,257.25,259.82,263.99,256.68,84.85M,0.72%,0
2023-03-16,255.41,240.27,255.88,238.94,58.49M,5.42%,0
2023-03-15,242.28,237.61,242.86,233.60,51.77M,0.69%,0
2023-03-14,240.63,234.96,242.19,234.60,47.15M,4.78%,0
2023-03-13,229.66,227.52,232.98,222.97,42.19M,0.00%,0
2023-03-10,229.65,234.09,236.27,227.26,47.49M,-2.01%,0
2023-03-09,234.36,241.75,244.54,233.83,49.94M,-3.08%,0
2023-03-08,241.81,234.87,242.00,234.24,51.36M,3.83%,0
2023-03-07,232.88,236.00,241.25,232.41,51.52M,-1.13%,0
2023-03-06,235.54,238.91,242.48,234.87,43.74M,-1.41%,0
2023-03-03,238.90,233.20,239.00,231.30,40.94M,2.47%,0
2023-03-02,233.14,224.88,233.80,224.32,38.15M,2.71%,0
2023-03-01,226.98,231.92,232.56,225.08,45.52M,-2.23%,0
2023-02-28,232.16,233.72,238.25,232.06,45.60M,-1.21%,0
2023-02-27,235.01,236.70,238.80,234.54,45.30M,0.92%,0
2023-02-24,232.86,232.25,234.74,229.47,58.97M,-1.60%,0
2023-02-23,236.64,234.40,238.88,230.25,111.80M,14.02%,-0.25
2023-02-22,207.54,207.07,211.04,204.21,51.32M,0.48%,0
2023-02-21,206.55,210.00,214.94,206.18,41.00M,-3.43%,0
2023-02-17,213.88,216.31,217.40,209.75,46.59M,-2.79%,-0.6597
2023-02-16,220.02,221.33,225.50,219.27,40.88M,-3.35%,0
2023-02-15,227.64,225.49,228.55,221.06,42.01M,-0.90%,0
2023-02-14,229.71,215.78,230.49,213.66,67.55M,5.43%,0
2023-02-13,217.88,215.38,220.48,209.62,47.34M,2.46%,0
2023-02-10,212.65,216.90,220.78,208.11,55.07M,-4.80%,0
2023-02-09,223.37,226.06,230.20,221.20,52.10M,0.59%,0
2023-02-08,222.05,223.87,228.78,220.08,54.74M,0.14%,0
2023-02-07,221.73,213.82,222.59,211.50,66.11M,5.14%,0
2023-02-06,210.89,208.06,215.70,207.86,45.13M,-0.05%,0
2023-02-03,211.00,210.00,217.45,207.89,42.94M,-2.81%,0
2023-02-02,217.09,210.00,219.49,207.00,55.96M,3.66%,0
2023-02-01,209.43,196.91,211.92,196.11,65.55M,7.20%,0
2023-01-31,195.37,191.70,196.87,189.50,49.80M,1.96%,0
2023-01-30,191.62,199.50,201.40,191.50,48.67M,-5.91%,0
2023-01-27,203.65,194.62,206.28,194.05,54.21M,2.84%,0
2023-01-26,198.02,197.01,201.66,192.78,48.53M,2.48%,0
2023-01-25,193.23,189.13,193.70,185.80,44.76M,0.30%,0
2023-01-24,192.65,188.27,194.95,188.20,48.75M,0.38%,0
2023-01-23,191.93,180.64,192.45,178.18,65.30M,7.59%,0
2023-01-20,178.39,170.11,178.56,168.25,56.50M,6.41%,0
2023-01-19,167.65,170.36,171.97,167.31,45.14M,-3.52%,0
2023-01-18,173.77,176.67,178.73,172.82,43.96M,-1.84%,0
2023-01-17,177.02,168.99,177.28,168.99,50.94M,4.75%,0
2023-01-13,168.99,162.78,169.22,161.65,44.73M,2.35%,0
2023-01-12,165.11,161.00,166.37,154.92,55.02M,3.19%,0
2023-01-11,160.01,158.40,160.28,155.63,35.25M,0.58%,0
2023-01-10,159.09,155.07,159.62,154.72,38.33M,1.80%,0
2023-01-09,156.28,152.84,160.56,151.41,50.34M,5.18%,0
2023-01-06,148.59,144.74,150.10,140.34,40.50M,4.16%,0
2023-01-05,142.65,144.91,145.64,141.48,38.85M,-3.28%,0
2023-01-04,147.49,145.67,148.53,142.41,43.04M,3.03%,0
2023-01-03,143.15,148.51,149.96,140.96,40.06M,-2.05%,0
2022-12-30,146.14,143.34,146.29,142.33,31.05M,0.08%,0
2022-12-29,146.03,144.02,146.83,142.27,35.42M,4.04%,0
2022-12-28,140.36,139.27,142.62,138.84,35.02M,-0.60%,0
2022-12-27,141.21,150.74,151.00,140.56,46.25M,-7.14%,0
2022-12-23,152.06,151.96,153.39,148.83,34.93M,-0.87%,0
2022-12-22,153.39,160.93,161.38,148.82,56.40M,-7.04%,0
2022-12-21,165.01,161.14,166.27,161.02,32.44M,2.59%,0
2022-12-20,160.85,160.64,163.10,158.52,40.22M,-1.04%,0
2022-12-19,162.54,165.72,166.09,161.45,35.32M,-1.91%,0
2022-12-16,165.71,168.64,170.41,164.10,47.82M,-2.25%,0
2022-12-15,169.52,171.46,173.20,167.00,47.78M,-4.09%,0
2022-12-14,176.74,179.87,182.52,174.20,49.69M,-2.20%,0
2022-12-13,180.72,185.31,187.90,177.11,65.55M,3.06%,0
2022-12-12,175.35,170.37,175.38,167.97,45.48M,3.14%,-0.2856
2022-12-09,170.01,171.60,175.83,169.75,46.53M,-0.98%,0
2022-12-08,171.69,162.73,171.79,159.59,51.31M,6.51%,0
2022-12-07,161.20,157.72,161.86,156.67,37.16M,0.83%,0
2022-12-06,159.87,165.30,165.73,158.19,35.19M,-3.75%,0
