Year,Month,Day,Title,Summary,Sentiment
2023,4,30,Charlie Munger: US banks are ‘full of’ bad commercial property loans,"Berkshire Hathaway vice-chair foresees pain in FT interview, but says it will not be as severe as 2008",-0.1591
2023,2,27,2022 never ended,And Buffett on buybacks,0
2023,2,25,Warren Buffett defends buybacks to Berkshire Hathaway shareholders,The 92-year-old’s annual letter to investors was his shortest in decades,0
2023,2,15,TSMC: Bearish Hathaway’s getaway puts crack in the mirror trade,Warren Buffett’s selldown may kill the chipmaker’s buzz — but it’s still a good long-term investment,0.25
2023,2,15,Berkshire Hathaway cuts Activision stake as Microsoft deal flounders,Warren Buffett’s conglomerate bet big on takeover that has encountered regulatory pushback,-0.296
2022,11,16,"Buffett, TSMC and Taiwan risk","Also, preparing for peace and Alphabet activists",0.34
2022,11,15,Buffett’s Berkshire Hathaway buys $4bn stake in chipmaker TSMC,Investment adds another technology group to industrial conglomerate’s sprawling portfolio ,0
2022,11,5,Interest rate rises boost Warren Buffett’s Berkshire Hathaway results,US Fed’s monetary policy hits Berkshire’s stock portfolio but nearly triples returns on its cash pile,0.431
2022,9,30,China’s EV star and Tesla rival BYD unveils Europe expansion,Carmaker’s global push has been overshadowed by speculation over Warren Buffett’s exit ,0
2022,9,5,BYD: don’t fight Warren Buffett ,Carmaker’s investors have ignored the good news and focused on whether Berkshire Hathaway will exit,0.1531
2022,9,2,Quant funds snap up shares in Warren Buffett’s Berkshire Hathaway,"Renaissance Technologies, DE Shaw, Bridgewater and others buy stock worth more than $900mn in second quarter",0.4767
2022,8,20,Buffett’s Berkshire Hathaway wins approval to buy up to half of Occidental,Shares in US oil and gas producer jump after energy regulator authorises increased stake,0.9042
2022,8,15,Buffett’s Berkshire Hathaway makes big bet on US lender Ally Financial,"Investment group increases stakes in Apple, Paramount Global and oil companies",0
2022,8,6,Warren Buffett’s Berkshire reins in stock purchases and books $43.8bn loss,Sharp slowdown in new investment comes as market turmoil hits value of portfolio,-0.34
