Date,SentimentSum
2023-04-30,-0.1591
2023-02-27,0
2023-02-25,0
2023-02-15,-0.046
2022-11-16,0.34
2022-11-15,0
2022-11-05,0.431
2022-09-30,0
2022-09-05,0.1531
2022-09-02,0.4767
2022-08-20,0.9042
2022-08-15,0
2022-08-06,-0.34
2022-07-20,0.5423
2022-07-12,0.3182
2022-06-18,0.25
2022-05-20,0.25
2022-05-17,0.25
2022-05-03,0
2022-05-01,0.296
2022-04-30,0.836
2022-04-27,-0.4767
2022-04-08,-0.4215
2022-04-07,-0.0619
2022-03-30,-0.25
2022-03-26,0
2022-03-21,-0.2535
2022-03-04,0
2022-02-26,0.5574
2022-02-14,0.296
2022-01-22,0.3818
2021-12-07,-0.6997
2021-11-06,0.296
2021-08-07,0.6369
2021-05-19,0.5423
2021-05-17,0.128
2021-05-07,0
2021-05-04,0.7003
2021-05-03,0.6042
2021-05-01,1.1755
2021-04-20,0.5267
2021-03-22,0.3182
2021-03-15,0.0985
2021-02-27,-0.4404
2021-02-17,0
2021-01-04,0.1779
2020-11-17,0
2020-11-07,0.1531
2020-10-20,-0.6597
2020-10-01,0.1779
2020-09-25,0
2020-09-10,-0.0258
2020-09-09,0
2020-09-04,0.25
2020-09-01,0
2020-08-31,0.0117
2020-08-21,0.5994
2020-08-18,0.7184
2020-08-14,0.0516
2020-08-08,0.4404
2020-07-31,0.575
2020-07-23,0.6705
2020-07-17,-0.1779
2020-07-05,0.4215
2020-06-15,-0.8271
2020-05-15,0.25
2020-05-11,-0.8442
2020-05-10,-0.4201
2020-05-08,-0.7079
2020-05-04,-1.2527
2020-05-03,0.2263
2020-05-02,0.1531
2020-03-13,-0.6124
2020-02-22,0.2023
2020-02-12,-0.296
2020-01-31,-0.4588
2020-01-29,0
2020-01-25,-0.7964
2020-01-08,0.4588
2020-01-01,0.296
2019-12-23,0
2019-12-19,0
2019-11-15,-0.5859
2019-11-14,0.5423
2019-11-02,0.0772
2019-09-18,0
2019-09-06,-0.128
2019-08-14,0
2019-08-05,0
2019-08-03,0.2382
2019-07-26,0.5574
2019-06-04,0.128
2019-06-01,0.4215
2019-05-29,0
2019-05-15,0.4215
2019-05-07,-0.6908
2019-05-05,0.2732
2019-05-04,0.1789
2019-05-03,-0.296
2019-05-01,0.631
