Date,SentimentSum
2023-04-06,0.1531
2023-02-23,-0.25
2023-02-17,-0.6597
2022-12-12,-0.2856
2022-09-01,-0.5615
2022-08-17,0.1531
2022-05-05,-0.2732
2022-02-21,0.3182
2022-02-10,0
2022-02-08,0.5114
2022-01-26,0.8316
2022-01-25,0
2021-12-02,-0.296
2021-11-25,0.5994
2021-11-19,0
2021-11-18,0.7717
2021-11-16,-0.1838
2021-09-13,0.7096
2021-09-07,-0.4939
2021-08-27,0.5994
2021-08-20,0.2263
2021-08-19,0.8555
2021-08-03,-0.0772
2021-06-22,-0.6486
2021-06-09,0
2021-06-08,0.2732
2021-05-18,-0.743
2021-05-13,0
2021-04-23,0
2021-04-20,0.1531
2021-04-19,0.6486
2021-04-12,0.25
2021-03-28,0
2021-03-09,0.3818
2021-02-24,0.25
2021-02-13,0
2021-02-04,-0.4215
2021-01-06,0
2020-11-19,0.7209
2020-11-03,-1.3465
2020-10-28,-0.6872
2020-10-09,-0.4588
2020-10-07,-0.128
2020-10-05,0.5256
2020-10-01,0.1779
2020-09-18,1.092
2020-09-17,-0.743
2020-09-16,0.5859
2020-09-15,0.3658
2020-09-14,0.0052
2020-09-10,0.34
2020-08-21,0.2023
2020-08-20,0
2020-07-31,0
2020-06-24,-0.3182
2020-02-13,0.7003
2020-02-04,-0.7096
2019-08-15,0.6124
2019-07-27,0.2263
2019-05-17,0.2666
