Date,SentimentSum
2023-04-28,0.2023
2023-04-25,-0.4019
2023-04-21,-0.3248
2023-04-20,-0.0258
2023-04-19,0.7184
2023-04-09,0.3626
2023-04-04,0.1531
2023-04-02,0.0772
2023-03-29,-0.5994
2023-03-28,-0.3612
2023-03-06,0.4019
2023-03-02,0.3612
2023-02-28,0
2023-02-17,0
2023-02-16,0.4653
2023-02-15,0
2023-02-09,0.2023
2023-02-05,-0.8625
2023-02-04,0.5267
2023-02-02,0
2023-01-31,0.126
2023-01-26,0.1531
2023-01-23,-0.2263
2023-01-20,0.3182
2023-01-18,-0.5775
2023-01-17,-0.128
2023-01-13,-0.7096
2023-01-12,0.0772
2023-01-11,0
2023-01-09,-0.4334
2023-01-08,0
2023-01-06,-0.7717
2023-01-05,-0.6904
2023-01-04,0
2023-01-03,-0.5223
2022-12-30,-0.743
2022-12-28,-0.4767
2022-12-23,-0.5719
2022-12-22,0.296
2022-12-20,0.9511
2022-12-15,-0.765
2022-12-12,0
2022-12-08,0.34
2022-12-05,0.2263
2022-11-25,-0.2023
2022-11-17,0.3182
2022-11-16,0.9957
2022-11-14,-0.2732
2022-11-09,0.296
2022-10-31,-0.4767
2022-10-28,0.6705
2022-10-24,0.765
2022-10-20,-0.5267
2022-10-19,-0.5106
2022-10-10,0.5267
2022-10-02,-0.4767
2022-10-01,0
2022-09-22,0.6597
2022-08-23,-0.1779
2022-08-18,0.4019
2022-08-11,-0.8074
2022-08-10,0.2041
2022-07-29,0.2023
2022-07-22,-0.5574
2022-07-21,0.2584
2022-07-20,0.2287
2022-07-14,-0.128
2022-07-13,-0.7771
2022-07-07,0.34
2022-07-05,0.5267
2022-07-04,0.1531
2022-07-03,0.5574
2022-07-02,-0.128
2022-06-28,-0.0258
2022-06-21,-0.296
2022-06-10,-0.0258
2022-06-03,-0.4215
2022-06-02,0.6705
2022-06-01,-0.1027
2022-05-25,0.296
2022-05-23,0.2732
2022-05-20,0.1027
2022-05-19,-0.3612
2022-05-17,-0.5106
2022-05-16,-0.7485
2022-05-13,-0.765
2022-05-12,0
2022-05-11,0.1569
2022-05-10,0.128
2022-05-06,-0.3612
2022-05-05,0.6249
2022-05-03,0
2022-05-02,0.4767
2022-04-29,0.34
2022-04-27,0.1154
2022-04-26,-0.0251
2022-04-21,1.3845
2022-04-15,0.2023
2022-04-04,0
2022-04-03,-1.139
2022-04-01,0.1027
2022-03-11,0.7717
2022-03-04,0.7783
2022-02-24,0
2022-02-22,0
2022-02-17,-0.2023
2022-02-07,0
2022-02-04,0.3182
2022-02-01,0.7506
2022-01-27,1.1991
2022-01-24,-0.34
2022-01-16,0.7096
2022-01-10,0.5106
2022-01-03,0.3612
2021-12-30,-0.4019
2021-12-29,0.2732
2021-12-17,0
2021-12-15,-0.4983
2021-12-07,0
2021-12-06,-0.6908
2021-12-01,0.4019
2021-11-29,0.1779
2021-11-26,-0.0772
2021-11-23,0.6249
2021-11-22,-0.2732
2021-11-19,-0.3182
2021-11-16,-0.9224
2021-11-12,0.5267
2021-11-11,0.8954
2021-11-09,-0.4215
2021-11-08,1.6079
2021-11-07,0.6908
2021-11-05,0.128
2021-11-04,1.0304
2021-11-02,0
2021-11-01,0.6808
2021-10-29,-0.4404
2021-10-28,-0.2023
2021-10-26,0.6124
2021-10-25,0
2021-10-20,0.3818
2021-10-15,-0.8632
2021-10-11,0.5719
2021-10-08,0.9685
2021-09-15,-0.2263
2021-08-24,0.2263
2021-08-20,0.7631
2021-08-18,-0.296
2021-08-17,-0.5574
2021-08-16,0
2021-08-11,-0.7783
2021-08-03,-0.34
2021-07-28,0
2021-07-27,-0.1912
2021-07-26,0.4019
2021-07-23,-0.0772
2021-07-21,1.0626
2021-07-12,-0.5719
2021-07-11,-0.2263
2021-07-02,0.0629
2021-06-28,-0.7003
2021-06-25,0.2295
2021-06-23,0.1779
2021-06-22,0.7783
